A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,tag
0.581311625,0.15753411,0.210711359,0.052337918,0.767011044,0.824023318,0.647204815,0.288495212,0.138300733,0.892086105,0.457883807,0.967556798,0.323300133,0.925445232,0.795933516,0.960150184,0.501956362,0.22271653,0.731366815,0.566629046,0.700431984,0.355125267,0.5474405,0.944419388,0.320049061,0.335200011,0.425287208,0.588440717,0.001628745,0.829074674,0.63427586,0.221682747,0.023516969,0.49798012,0.849866972,0.565143674,0.909480739,0.080997609,0.867482701,0.839339985,0.64764149,1
0.697439483,0.856281008,0.266010712,0.448555537,0.151821361,0.63979594,0.281953966,0.819521722,0.39301747,0.834252973,0.686099776,0.891208146,0.984142444,0.761114239,0.800448489,0.887381881,0.660717494,0.96440437,0.792147777,0.027029047,0.73297998,0.710295503,0.872503147,0.259165099,0.616426719,0.08043973,0.42030811,0.080793209,0.500069145,0.487171868,0.2787129,0.47178465,0.06400081,0.22684944,0.908017084,0.019631063,0.208633822,0.124978484,0.608266154,0.90376971,0.726972121,1
0.542332322,0.226138335,0.96226341,0.239249658,0.895563309,0.745779026,0.484514197,0.396117973,0.528215517,0.100814579,0.976151231,0.383775288,0.117453742,0.921296288,0.542365808,0.217692654,0.251257355,0.098705196,0.285272992,0.427428296,0.057036592,0.173829739,0.737140361,0.666675623,0.770174808,0.264723018,0.3661085,0.037785064,0.932911437,0.51937511,0.597949391,0.82602809,0.195518047,0.05972167,0.701081413,0.622758147,0.624684719,0.557198786,0.100050097,0.040999827,0.154176934,0
0.884060629,0.267197127,0.504689195,0.164256508,0.920020779,0.572679658,0.600722539,0.970538107,0.425499929,0.281583497,0.802997258,0.68174857,0.039849572,0.476148457,0.863004114,0.259601995,0.208151988,0.016767913,0.130768903,0.758984364,0.308749265,0.811889506,0.985136884,0.167951062,0.098761834,0.595021767,0.045609915,0.246493516,0.879783321,0.739880066,0.735330195,0.153842638,0.439561731,0.918455247,0.368505195,0.694551854,0.011681442,0.292787491,0.122487815,0.984326362,0.257753487,0
0.469521292,0.10042732,0.806931205,0.278475429,0.145479884,0.535608286,0.68437106,0.830367737,0.672601009,0.378759636,0.304272548,0.157839205,0.535473265,0.244915674,0.578478719,0.552283106,0.908429095,0.380806292,0.112732164,0.021973747,0.918992881,0.397150804,0.167536779,0.630756721,0.529514962,0.94629906,0.804928218,0.599188109,0.789790394,0.757528594,0.720743821,0.952099515,0.861738255,0.328429474,0.228846461,0.940721818,0.103869649,0.136116876,0.362262985,0.112316161,0.266141526,0
0.078065408,0.476475105,0.97873479,0.930708654,0.888985957,0.0138606,0.466173242,0.565464391,0.214432867,0.582567584,0.810319567,0.21168309,0.368836793,0.296016913,0.862073467,0.700943432,0.58824147,0.161131332,0.886724563,0.342515203,0.75841892,0.501496245,0.655471551,0.708362959,0.383780041,0.414385507,0.010297415,0.350164685,0.393116979,0.131422544,0.429175621,0.063737198,0.967042514,0.76391672,0.271475617,0.400114463,0.510856508,0.602830033,0.243172676,0.739745294,0.488593668,0
0.27413778,0.865670152,0.580947823,0.248624052,0.220768152,0.427988194,0.69577932,0.045803777,0.866916823,0.712208619,0.667560683,0.42922139,0.673547074,0.787138617,0.289963176,0.794076721,0.824235763,0.40278368,0.455000141,0.796917986,0.610449679,0.255768039,0.640928741,0.227580142,0.978484235,0.539598869,0.965555712,0.644026747,0.165626187,0.727096714,0.635040853,0.595929131,0.781672481,0.669559873,0.838116558,0.662344722,0.3277656,0.330018479,0.642130891,0.405506232,0.276981012,1
0.139000725,0.554882771,0.637945672,0.554671974,0.249041142,0.461633336,0.859665252,0.380620167,0.567167845,0.499992935,0.37075176,0.400970805,0.39456737,0.156613396,0.373869221,0.123949925,0.853953194,0.323590174,0.832394512,0.543294052,0.262452019,0.642453307,0.983243926,0.474108262,0.2289925,0.854740065,0.569378303,0.289022815,0.805211006,0.290128008,0.446227297,0.818975755,0.298191901,0.582061485,0.33150789,0.621041108,0.903233465,0.413395973,0.579902482,0.898758385,0.913931978,1
0.489057233,0.02355257,0.144899266,0.995698151,0.727518429,0.950929166,0.361646335,0.517486297,0.464121422,0.066411715,0.15000436,0.129510708,0.468875449,0.737453442,0.428481402,0.937900639,0.68924731,0.582405117,0.651192387,0.52805067,0.65553159,0.870648712,0.354698186,0.833112662,0.012159897,0.904661487,0.496873481,0.141446605,0.101267007,0.188821734,0.533111178,0.185598464,0.312218088,0.509047967,0.269877637,0.61274452,0.338054501,0.808338931,0.172020389,0.157643261,0.952716694,0
0.906003792,0.891456574,0.724166899,0.063726358,0.65334376,0.615369262,0.097640173,0.846324641,0.56166908,0.953181048,0.481128855,0.616513743,0.795736312,0.671531622,0.831422932,0.945112969,0.347804787,0.852569807,0.214113273,0.132773741,0.515991163,0.730283962,0.685217349,0.905397562,0.629039515,0.957779462,0.200989636,0.537045032,0.949647583,0.367635894,0.133430961,0.108044221,0.350412366,0.993710137,0.086172771,0.696866221,0.185939443,0.557702791,0.765218152,0.315490093,0.529349184,1
